assembly Constituency,Candidate Name,Party,Status,Votes,Margin,state
YUKSOM TASHIDING(1),TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,won,8271,(+ 4812),sikkim
YUKSOM TASHIDING(1),MEEWANG GYATSO BHUTIA,Sikkim Democratic Front,lost,3459,( -4812),sikkim
YUKSOM TASHIDING(1),JIGMEY BHUTIA,Citizen Action Party-Sikkim,lost,1024,( -7247),sikkim
YUKSOM TASHIDING(1),KUNZANG SHERAB BHUTIA,Bharatiya Janata Party,lost,318,( -7953),sikkim
YUKSOM TASHIDING(1),KAMAL LEPCHA,Indian National Congress,lost,170,( -8101),sikkim
YUKSOM TASHIDING(1),PALDEN LEPCHA,Independent,lost,109,( -8162),sikkim
YUKSOM TASHIDING(1),SONAM PALZOR BHUTIA,Independent,lost,94,( -8177),sikkim
YUKSOM TASHIDING(1),NOTA,None of the Above,,159,( -8112),sikkim
YANGTHANG(2),BHIM HANG LIMBOO,Sikkim Krantikari Morcha,won,6621,(+ 2556),sikkim
YANGTHANG(2),KESHAM LIMBOO,Sikkim Democratic Front,lost,4065,( -2556),sikkim
YANGTHANG(2),PHIP DHOJ LIMBOO,Citizen Action Party-Sikkim,lost,551,( -6070),sikkim
YANGTHANG(2),PRAVIN SHARMA,Independent,lost,536,( -6085),sikkim
YANGTHANG(2),SANCHA MAN LIMBOO,Bharatiya Janata Party,lost,185,( -6436),sikkim
YANGTHANG(2),MANGAL SUBBA (LIMBOO),Indian National Congress,lost,81,( -6540),sikkim
YANGTHANG(2),NOTA,None of the Above,,85,( -6536),sikkim
MANEYBONG-DENTAM(3),SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,won,8553,(+ 6039),sikkim
MANEYBONG-DENTAM(3),TIKA RAM CHETTRI,Sikkim Democratic Front,lost,2514,( -6039),sikkim
MANEYBONG-DENTAM(3),NARENDRA KUMAR SUBBA,Bharatiya Janata Party,lost,1924,( -6629),sikkim
MANEYBONG-DENTAM(3),PRAKASH SHARMA,Citizen Action Party-Sikkim,lost,840,( -7713),sikkim
MANEYBONG-DENTAM(3),DIPENDRA GURUNG,Independent,lost,122,( -8431),sikkim
MANEYBONG-DENTAM(3),NAR BAHADUR GURUNG,Indian National Congress,lost,118,( -8435),sikkim
MANEYBONG-DENTAM(3),NOTA,None of the Above,,145,( -8408),sikkim
GYALSHING-BARNYAK(4),LOK NATH SHARMA,Sikkim Krantikari Morcha,won,5612,(+ 963),sikkim
GYALSHING-BARNYAK(4),KHUSANDRA PRASAD SHARMA,Independent,lost,4649,( -963),sikkim
GYALSHING-BARNYAK(4),TIKA PRASAD SHARMA,Sikkim Democratic Front,lost,829,( -4783),sikkim
GYALSHING-BARNYAK(4),PUJAN KHARKA,Citizen Action Party-Sikkim,lost,317,( -5295),sikkim
GYALSHING-BARNYAK(4),BHARAT KUMAR SHARMA,Bharatiya Janata Party,lost,155,( -5457),sikkim
GYALSHING-BARNYAK(4),NOTA,None of the Above,,105,( -5507),sikkim
RINCHENPONG(5),ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,won,9624,(+ 6400),sikkim
RINCHENPONG(5),NORDEN BHUTIA,Sikkim Democratic Front,lost,3224,( -6400),sikkim
RINCHENPONG(5),DAWA ONGDI LEPCHA,Citizen Action Party-Sikkim,lost,552,( -9072),sikkim
RINCHENPONG(5),SANCHO LEPCHA,Bharatiya Janata Party,lost,328,( -9296),sikkim
RINCHENPONG(5),NOTA,None of the Above,,239,( -9385),sikkim
DARAMDIN(6),MINGMA NORBU SHERPA,Sikkim Krantikari Morcha,won,9404,(+ 5975),sikkim
DARAMDIN(6),PEM NORBU SHERPA,Sikkim Democratic Front,lost,3429,( -5975),sikkim
DARAMDIN(6),PEM DORJEE SHERPA,Citizen Action Party-Sikkim,lost,472,( -8932),sikkim
DARAMDIN(6),PHURBA DORJEE SHERPA,Bharatiya Janata Party,lost,351,( -9053),sikkim
DARAMDIN(6),NOTA,None of the Above,,224,( -9180),sikkim
SORENG-CHAKUNG(7),P S TAMANG,Sikkim Krantikari Morcha,won,10480,(+ 7396),sikkim
SORENG-CHAKUNG(7),DR. A D SUBBA,Sikkim Democratic Front,lost,3084,( -7396),sikkim
SORENG-CHAKUNG(7),POBIN HANG SUBBA,Citizen Action Party-Sikkim,lost,498,( -9982),sikkim
SORENG-CHAKUNG(7),PURNA SINGH SUBBA,Bharatiya Janata Party,lost,330,( -10150),sikkim
SORENG-CHAKUNG(7),NOTA,None of the Above,,128,( -10352),sikkim
SALGHARI-ZOOM(8),MADAN CINTURY,Sikkim Krantikari Morcha,won,5678,(+ 2712),sikkim
SALGHARI-ZOOM(8),JANGA BIR DARNAL,Sikkim Democratic Front,lost,2966,( -2712),sikkim
SALGHARI-ZOOM(8),PAHAL MAN KAMI,Bharatiya Janata Party,lost,555,( -5123),sikkim
SALGHARI-ZOOM(8),KAUSHAL LOHAGAN,Citizen Action Party-Sikkim,lost,400,( -5278),sikkim
SALGHARI-ZOOM(8),NOTA,None of the Above,,75,( -5603),sikkim
BARFUNG(9),RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morcha,won,8358,(+ 4346),sikkim
BARFUNG(9),BHAICHUNG BHUTIA,Sikkim Democratic Front,lost,4012,( -4346),sikkim
BARFUNG(9),DADUL LEPCHA,Citizen Action Party-Sikkim,lost,656,( -7702),sikkim
BARFUNG(9),TASHI DADUL BHUTIA,Bharatiya Janata Party,lost,298,( -8060),sikkim
BARFUNG(9),NOTA,None of the Above,,188,( -8170),sikkim
POKLOK-KAMRANG(10),BHOJ RAJ RAI,Sikkim Krantikari Morcha,won,8037,(+ 3063),sikkim
POKLOK-KAMRANG(10),PAWAN KUMAR CHAMLING,Sikkim Democratic Front,lost,4974,( -3063),sikkim
POKLOK-KAMRANG(10),ARJUN RAI,Bharatiya Janata Party,lost,739,( -7298),sikkim
POKLOK-KAMRANG(10),SANJU RAI,Citizen Action Party-Sikkim,lost,691,( -7346),sikkim
POKLOK-KAMRANG(10),NOTA,None of the Above,,175,( -7862),sikkim
NAMCHI-SINGHITHANG(11),KRISHNA KUMARI RAI,Sikkim Krantikari Morcha,won,7907,(+ 5302),sikkim
NAMCHI-SINGHITHANG(11),BIMAL RAI,Sikkim Democratic Front,lost,2605,( -5302),sikkim
NAMCHI-SINGHITHANG(11),MAHESH RAI,Citizen Action Party-Sikkim,lost,236,( -7671),sikkim
NAMCHI-SINGHITHANG(11),ARUNA MANGER,Bharatiya Janata Party,lost,233,( -7674),sikkim
NAMCHI-SINGHITHANG(11),NOTA,None of the Above,,62,( -7845),sikkim
MELLI(12),NAR BAHADUR PRADHAN,Sikkim Krantikari Morcha,won,7904,(+ 4283),sikkim
MELLI(12),GANESH KUMAR RAI,Citizen Action Party-Sikkim,lost,3621,( -4283),sikkim
MELLI(12),NIRMAL KUMAR PRADHAN,Sikkim Democratic Front,lost,1321,( -6583),sikkim
MELLI(12),YOGEN RAI,Bharatiya Janata Party,lost,582,( -7322),sikkim
MELLI(12),RUPEN KARKI,Independent,lost,109,( -7795),sikkim
MELLI(12),NOTA,None of the Above,,99,( -7805),sikkim
NAMTHANG-RATEYPANI(13),SANJEET KHAREL,Sikkim Krantikari Morcha,won,8949,(+ 5605),sikkim
NAMTHANG-RATEYPANI(13),SUMAN PRADHAN,Sikkim Democratic Front,lost,3344,( -5605),sikkim
NAMTHANG-RATEYPANI(13),HARI CHANDRA CHETTRI,Citizen Action Party-Sikkim,lost,1300,( -7649),sikkim
NAMTHANG-RATEYPANI(13),JANAK KUMAR GURUNG,Bharatiya Janata Party,lost,344,( -8605),sikkim
NAMTHANG-RATEYPANI(13),NOTA,None of the Above,,164,( -8785),sikkim
TEMI-NAMPHING(14),BEDU SINGH PANTH,Sikkim Krantikari Morcha,won,6759,(+ 3558),sikkim
TEMI-NAMPHING(14),SUMAN KUMAR TEWARI,Sikkim Democratic Front,lost,3201,( -3558),sikkim
TEMI-NAMPHING(14),BIKASH SHARMA,Citizen Action Party-Sikkim,lost,2616,( -4143),sikkim
TEMI-NAMPHING(14),BHUPENDRA GIRI,Bharatiya Janata Party,lost,303,( -6456),sikkim
TEMI-NAMPHING(14),NOTA,None of the Above,,159,( -6600),sikkim
RANGANG-YANGANG(15),RAJ KUMARI THAPA,Sikkim Krantikari Morcha,won,6514,(+ 1201),sikkim
RANGANG-YANGANG(15),MANI KUMAR SUBBA,Sikkim Democratic Front,lost,5313,( -1201),sikkim
RANGANG-YANGANG(15),ANIL KUMAR NEPAL,Citizen Action Party-Sikkim,lost,662,( -5852),sikkim
RANGANG-YANGANG(15),GOPI DAS SHARMA (POKHREL),Bharatiya Janata Party,lost,256,( -6258),sikkim
RANGANG-YANGANG(15),NOTA,None of the Above,,94,( -6420),sikkim
TUMEN-LINGI(16),SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morcha,won,8265,(+ 4088),sikkim
TUMEN-LINGI(16),NORZONG LEPCHA,Sikkim Democratic Front,lost,4177,( -4088),sikkim
TUMEN-LINGI(16),PEMA GYALPU BHUTIA,Citizen Action Party-Sikkim,lost,885,( -7380),sikkim
TUMEN-LINGI(16),PASSANG GYALI SHERPA,Bharatiya Janata Party,lost,593,( -7672),sikkim
TUMEN-LINGI(16),SAMDUP LEPCHA,Indian National Congress,lost,197,( -8068),sikkim
TUMEN-LINGI(16),NOTA,None of the Above,,115,( -8150),sikkim
KHAMDONG-SINGTAM(17),NAR BAHADUR DAHAL,Sikkim Krantikari Morcha,won,5882,(+ 1739),sikkim
KHAMDONG-SINGTAM(17),MANI KUMAR SHARMA,Sikkim Democratic Front,lost,4143,( -1739),sikkim
KHAMDONG-SINGTAM(17),CHETAN SAPKOTA,Bharatiya Janata Party,lost,506,( -5376),sikkim
KHAMDONG-SINGTAM(17),SUMATI CHETTRI,Citizen Action Party-Sikkim,lost,450,( -5432),sikkim
KHAMDONG-SINGTAM(17),TANKA NATH ADHIKARI,Indian National Congress,lost,70,( -5812),sikkim
KHAMDONG-SINGTAM(17),NOTA,None of the Above,,75,( -5807),sikkim
WEST PENDAM(18),LALL BAHADUR DAS,Sikkim Krantikari Morcha,won,6237,(+ 1952),sikkim
WEST PENDAM(18),ANUP THATAL,Sikkim Democratic Front,lost,4285,( -1952),sikkim
WEST PENDAM(18),BHUPAL BARAILY,Bharatiya Janata Party,lost,959,( -5278),sikkim
WEST PENDAM(18),JAGDISH CINTURY,Independent,lost,731,( -5506),sikkim
WEST PENDAM(18),MADAN KUMAR SHIVA SHANKER,Citizen Action Party-Sikkim,lost,580,( -5657),sikkim
WEST PENDAM(18),NOTA,None of the Above,,126,( -6111),sikkim
RHENOCK(19),P S TAMANG,Sikkim Krantikari Morcha,won,10094,(+ 7044),sikkim
RHENOCK(19),SOM NATH POUDYAL,Sikkim Democratic Front,lost,3050,( -7044),sikkim
RHENOCK(19),TIKA RAM SHARMA,Citizen Action Party-Sikkim,lost,1171,( -8923),sikkim
RHENOCK(19),PREM CHHETRI,Bharatiya Janata Party,lost,852,( -9242),sikkim
RHENOCK(19),LAXMI SHARMA,Sikkim Republican Party,lost,170,( -9924),sikkim
RHENOCK(19),KAPIL PRASAD SAPKOTA,Indian National Congress,lost,141,( -9953),sikkim
RHENOCK(19),NOTA,None of the Above,,162,( -9932),sikkim
CHUJACHEN(20),PURAN KR. GURUNG,Sikkim Krantikari Morcha,won,8199,(+ 3334),sikkim
CHUJACHEN(20),MANI KUMAR GURUNG,Sikkim Democratic Front,lost,4865,( -3334),sikkim
CHUJACHEN(20),GANESH KUMAR RAI,Citizen Action Party-Sikkim,lost,1077,( -7122),sikkim
CHUJACHEN(20),DUK NATH NEPAL,Bharatiya Janata Party,lost,464,( -7735),sikkim
CHUJACHEN(20),NOTA,None of the Above,,126,( -8073),sikkim
GNATHANG-MACHONG(21),PAMIN LEPCHA,Sikkim Krantikari Morcha,won,6676,(+ 3807),sikkim
GNATHANG-MACHONG(21),TSHERING WANGDI LEPCHA,Sikkim Democratic Front,lost,2869,( -3807),sikkim
GNATHANG-MACHONG(21),SANGAY GYATSO BHUTIA,Bharatiya Janata Party,lost,602,( -6074),sikkim
GNATHANG-MACHONG(21),PHURI SHERPA,Citizen Action Party-Sikkim,lost,531,( -6145),sikkim
GNATHANG-MACHONG(21),TSHERING PEMA BHUTIA,Indian National Congress,lost,69,( -6607),sikkim
GNATHANG-MACHONG(21),NOTA,None of the Above,,94,( -6582),sikkim
NAMCHEYBUNG(22),RAJU BASNET,Sikkim Krantikari Morcha,won,7195,(+ 2256),sikkim
NAMCHEYBUNG(22),PAWAN KUMAR CHAMLING,Sikkim Democratic Front,lost,4939,( -2256),sikkim
NAMCHEYBUNG(22),SEVERINE RAI,Citizen Action Party-Sikkim,lost,814,( -6381),sikkim
NAMCHEYBUNG(22),POOJA SHARMA,Bharatiya Janata Party,lost,374,( -6821),sikkim
NAMCHEYBUNG(22),NOTA,None of the Above,,147,( -7048),sikkim
MARTAM-RUMTEK(24),SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morcha,won,8070,(+ 2762),sikkim
MARTAM-RUMTEK(24),MECHUNG BHUTIA,Sikkim Democratic Front,lost,5308,( -2762),sikkim
MARTAM-RUMTEK(24),CHEWANG DADUL BHUTIA,Bharatiya Janata Party,lost,705,( -7365),sikkim
MARTAM-RUMTEK(24),KARMA TSHERING BHUTIA,Citizen Action Party-Sikkim,lost,637,( -7433),sikkim
MARTAM-RUMTEK(24),GANGA LEPCHA,Indian National Congress,lost,89,( -7981),sikkim
MARTAM-RUMTEK(24),NOTA,None of the Above,,132,( -7938),sikkim
UPPER TADONG(25),G.T. DHUNGEL,Sikkim Krantikari Morcha,won,6209,(+ 4089),sikkim
UPPER TADONG(25),DR. CHANDRA BAHADUR CHETTRI,Sikkim Democratic Front,lost,2120,( -4089),sikkim
UPPER TADONG(25),NIREN BHANDARI,Bharatiya Janata Party,lost,280,( -5929),sikkim
UPPER TADONG(25),RAVI GURUNG,Citizen Action Party-Sikkim,lost,245,( -5964),sikkim
UPPER TADONG(25),KAILASH CHANDRA PRADHAN,Independent,lost,158,( -6051),sikkim
UPPER TADONG(25),NOTA,None of the Above,,57,( -6152),sikkim
ARITHANG(26),ARUN KUMAR UPRETI,Sikkim Krantikari Morcha,won,5356,(+ 2729),sikkim
ARITHANG(26),ASHIS RAI,Sikkim Democratic Front,lost,2627,( -2729),sikkim
ARITHANG(26),UDAI GURUNG,Bharatiya Janata Party,lost,541,( -4815),sikkim
ARITHANG(26),RIKESH PRADHAN,Citizen Action Party-Sikkim,lost,93,( -5263),sikkim
ARITHANG(26),SUMITRA RAI,Indian National Congress,lost,46,( -5310),sikkim
ARITHANG(26),NOTA,None of the Above,,49,( -5307),sikkim
GANGTOK(27),DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morcha,won,4440,(+ 2692),sikkim
GANGTOK(27),PINTSO CHOPEL LEPCHA,Sikkim Democratic Front,lost,1748,( -2692),sikkim
GANGTOK(27),PEMA WANGYAL RINZING,Bharatiya Janata Party,lost,1230,( -3210),sikkim
GANGTOK(27),DAWCHO LEPCHA,Citizen Action Party-Sikkim,lost,206,( -4234),sikkim
GANGTOK(27),SNUMIT TARGAIN,Indian National Congress,lost,44,( -4396),sikkim
GANGTOK(27),NOTA,None of the Above,,62,( -4378),sikkim
UPPER BURTUK(28),KALA RAI,Sikkim Krantikari Morcha,won,6323,(+ 2568),sikkim
UPPER BURTUK(28),DILLI RAM THAPA,Bharatiya Janata Party,lost,3755,( -2568),sikkim
UPPER BURTUK(28),DIL BAHADUR THAPA,Sikkim Democratic Front,lost,1623,( -4700),sikkim
UPPER BURTUK(28),BHIM KUMAR TAMANG,Citizen Action Party-Sikkim,lost,581,( -5742),sikkim
UPPER BURTUK(28),AITA TAMANG,Indian National Congress,lost,123,( -6200),sikkim
UPPER BURTUK(28),NOTA,None of the Above,,107,( -6216),sikkim
KABI LUNGCHUK(29),THENLAY TSHERING BHUTIA,Sikkim Krantikari Morcha,won,5882,(+ 1693),sikkim
KABI LUNGCHUK(29),GNAWO CHOPEL LEPCHA,Sikkim Democratic Front,lost,4189,( -1693),sikkim
KABI LUNGCHUK(29),UGEN NEDUP BHUTIA,Bharatiya Janata Party,lost,589,( -5293),sikkim
KABI LUNGCHUK(29),NOTA,None of the Above,,196,( -5686),sikkim
DJONGU(30),PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morcha,won,6402,(+ 5007),sikkim
DJONGU(30),SONAM GYATSO LEPCHA,Sikkim Democratic Front,lost,1395,( -5007),sikkim
DJONGU(30),JORBU TSHERING LEPCHA,Citizen Action Party-Sikkim,lost,1190,( -5212),sikkim
DJONGU(30),PENZONG LEPCHA,Bharatiya Janata Party,lost,148,( -6254),sikkim
DJONGU(30),NOTA,None of the Above,,68,( -6334),sikkim
LACHEN MANGAN(31),SAMDUP LEPCHA,Sikkim Krantikari Morcha,won,3929,(+ 851),sikkim
LACHEN MANGAN(31),HISHEY LACHUNGPA,Sikkim Democratic Front,lost,3078,( -851),sikkim
LACHEN MANGAN(31),NOTA,None of the Above,,89,( -3840),sikkim
SANGHA(32),SONAM LAMA,Sikkim Krantikari Morcha,won,1919,(+ 865),sikkim
SANGHA(32),TSETEN TASHI BHUTIA,Bharatiya Janata Party,lost,1054,( -865),sikkim
SANGHA(32),TSHERING LAMA,Sikkim Democratic Front,lost,114,( -1805),sikkim
SANGHA(32),NORCHO LEPCHA,Citizen Action Party-Sikkim,lost,97,( -1822),sikkim
SANGHA(32),NOTA,None of the Above,,14,( -1905),sikkim
SHYARI(23),TENZING NORBU LAMTHA,Sikkim Democratic Front,won,6633,(+ 1314),sikkim
SHYARI(23),KUNGA NIMA LEPCHA,Sikkim Krantikari Morcha,lost,5319,( -1314),sikkim
SHYARI(23),PEMPO DORJEE LEPCHA,Bharatiya Janata Party,lost,403,( -6230),sikkim
SHYARI(23),SONAM TSHERING LEPCHA,Citizen Action Party-Sikkim,lost,268,( -6365),sikkim
SHYARI(23),KARMA TASHI BHUTIA,Indian National Congress,lost,80,( -6553),sikkim
SHYARI(23),NOTA,None of the Above,,93,( -6540),sikkim
Ichchapuram(1),ASHOK BENDALAM,Telugu Desam,won,110612,(+ 39783),andraprdesh
Ichchapuram(1),PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,lost,70829,( -39783),andraprdesh
Ichchapuram(1),MASUPATRI CHAKRAVARTHI REDDY,Indian National Congress,lost,792,( -109820),andraprdesh
Ichchapuram(1),SURYA VARA PRASADA RAO JANNELA,Independent,lost,742,( -109870),andraprdesh
Ichchapuram(1),BISAI VEDAVARA,Bahujan Samaj Party,lost,634,( -109978),andraprdesh
Ichchapuram(1),SUGGU CHAKRAVARTHI,Independent,lost,284,( -110328),andraprdesh
Ichchapuram(1),MURAPALA LAKSHMI,Independent,lost,216,( -110396),andraprdesh
Ichchapuram(1),BADDI MUKHALINGAM,Bharatha Chaitanya Yuvajana Party,lost,169,( -110443),andraprdesh
Ichchapuram(1),VISWANADHAM LABALA,Jaibhim Rao Bharat Party,lost,163,( -110449),andraprdesh
Ichchapuram(1),NOTA,None of the Above,,4374,( -106238),andraprdesh
Palasa(2),GOUTHU SIREESHA,Telugu Desam,won,101560,(+ 40350),andraprdesh
Palasa(2),APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,lost,61210,( -40350),andraprdesh
Palasa(2),TRINATH BABU MAJJI,Indian National Congress,lost,1064,( -100496),andraprdesh
Palasa(2),D.VEERASWAMI,Independent,lost,357,( -101203),andraprdesh
Palasa(2),TELAGAVALASA JAYARAM,Independent,lost,322,( -101238),andraprdesh
Palasa(2),NAGIRI SRINIVASA RAO,Bahujan Samaj Party,lost,275,( -101285),andraprdesh
Palasa(2),KAMESWARARAO POTANAPALLI,Communist Party of India  (Marxist-Leninist)  (Liberation),lost,155,( -101405),andraprdesh
Palasa(2),KARNI.VENKATARAMANA MURTY,Independent,lost,142,( -101418),andraprdesh
Palasa(2),ANIL RAJU GMS,Jai Bharat National Party,lost,123,( -101437),andraprdesh
Palasa(2),APPALARAJU MOTURU,Bharatha Chaitanya Yuvajana Party,lost,65,( -101495),andraprdesh
Palasa(2),NOTA,None of the Above,,2762,( -98798),andraprdesh
Tekkali(3),ATCHANNAIDU KINJARAPU,Telugu Desam,won,107923,(+ 34435),andraprdesh
Tekkali(3),DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,lost,73488,( -34435),andraprdesh
Tekkali(3),KILLI KRUPA RANI,Indian National Congress,lost,2684,( -105239),andraprdesh
Tekkali(3),CHINTADA SRINIVASA RAO,Bahujan Samaj Party,lost,794,( -107129),andraprdesh
Tekkali(3),ATTADA RAJESH,Independent,lost,614,( -107309),andraprdesh
Tekkali(3),GEDDAVALASA RAMU,Independent,lost,482,( -107441),andraprdesh
Tekkali(3),BYPALLI PARAMESWARARAO,Jai Bharat National Party,lost,386,( -107537),andraprdesh
Tekkali(3),NOTA,None of the Above,,7342,( -100581),andraprdesh
Pathapatnam(4),MAMIDI GOVINDA RAO,Telugu Desam,won,89452,(+ 26527),andraprdesh
Pathapatnam(4),REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,lost,62925,( -26527),andraprdesh
Pathapatnam(4),KOPPURAUTU VENKATA RAO,Indian National Congress,lost,3565,( -85887),andraprdesh
Pathapatnam(4),BODDEPALLI KRISHNA RAO,Bahujan Samaj Party,lost,1704,( -87748),andraprdesh
Pathapatnam(4),R.MOHANA RAO,Independent,lost,608,( -88844),andraprdesh
Pathapatnam(4),JANNI SANJEEVA RAO,Gondwana Dandkaranya Party,lost,423,( -89029),andraprdesh
Pathapatnam(4),GOLLA TIRUPATHI RAO,Jai Bharat National Party,lost,368,( -89084),andraprdesh
Pathapatnam(4),BAGGU KRUSHNA,Independent,lost,328,( -89124),andraprdesh
Pathapatnam(4),KOYYANA GOVINDA RAO,Independent,lost,245,( -89207),andraprdesh
Pathapatnam(4),ASAPANNA SANKARA RAO,Independent,lost,113,( -89339),andraprdesh
Pathapatnam(4),NOTA,None of the Above,,3604,( -85848),andraprdesh
Srikakulam(5),GONDU SHANKAR,Telugu Desam,won,117091,(+ 52521),andraprdesh
Srikakulam(5),DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,lost,64570,( -52521),andraprdesh
Srikakulam(5),AMBATI KRISHNA RAO,Indian National Congress,lost,4353,( -112738),andraprdesh
Srikakulam(5),GUJJALA SURYANARAYANA,Bahujan Samaj Party,lost,1388,( -115703),andraprdesh
Srikakulam(5),PANILI PRASAD,Bharatha Chaitanya Yuvajana Party,lost,615,( -116476),andraprdesh
Srikakulam(5),RAGOLU NAGASIVA,Jai Bharat National Party,lost,470,( -116621),andraprdesh
Srikakulam(5),KARI LAKSHMANA,Pyramid Party of India,lost,308,( -116783),andraprdesh
Srikakulam(5),NOTA,None of the Above,,3373,( -113718),andraprdesh
Amadalavalasa(6),KOONA RAVI KUMAR,Telugu Desam,won,88003,(+ 35032),andraprdesh
Amadalavalasa(6),THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,lost,52971,( -35032),andraprdesh
Amadalavalasa(6),GANDHI SUVVARI,Independent,lost,9537,( -78466),andraprdesh
Amadalavalasa(6),ANNAJIRAO SANAPALA,Indian National Congress,lost,3481,( -84522),andraprdesh
Amadalavalasa(6),GANAPATHI JAGADEESWARA RAO (JAGADEESH),Independent,lost,546,( -87457),andraprdesh
Amadalavalasa(6),LOLUGU VENKATA RAJASEKHAR,Independent,lost,474,( -87529),andraprdesh
Amadalavalasa(6),SANAPALA SURESH KUMAR,Independent,lost,386,( -87617),andraprdesh
Amadalavalasa(6),SOMESWARA RAO LASA,Bahujan Samaj Party,lost,359,( -87644),andraprdesh
Amadalavalasa(6),GURUGU REVATHI,Jaathia Chethi Vruthula Ikya Vedika Party,lost,187,( -87816),andraprdesh
Amadalavalasa(6),MUDDADA RAMBUJJI,Independent,lost,166,( -87837),andraprdesh
Amadalavalasa(6),BURIDI GOURI SHANKAR,Jai Bharat National Party,lost,113,( -87890),andraprdesh
Amadalavalasa(6),SEPENA SRINIVASA RAO,Bharatha Chaitanya Yuvajana Party,lost,99,( -87904),andraprdesh
Amadalavalasa(6),MUDDADA MADHUSUDANA RAO,Pyramid Party of India,lost,85,( -87918),andraprdesh
Amadalavalasa(6),NOTA,None of the Above,,2300,( -85703),andraprdesh
Narasannapeta(8),BAGGU RAMANAMURTHY,Telugu Desam,won,99951,(+ 29371),andraprdesh
Narasannapeta(8),KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,lost,70580,( -29371),andraprdesh
Narasannapeta(8),MANTHRI NARASIMHAMURTHY,Indian National Congress,lost,2225,( -97726),andraprdesh
Narasannapeta(8),KAYA KAMESWARI,Navarang Congress Party,lost,432,( -99519),andraprdesh
Narasannapeta(8),BORA VENKATA SATYENDRANATH ABIHISHEK,Independent,lost,332,( -99619),andraprdesh
Narasannapeta(8),MYLAPALLI JAGADEESH,Independent,lost,291,( -99660),andraprdesh
Narasannapeta(8),CHEEPURU RAVI,Jai Bharat National Party,lost,265,( -99686),andraprdesh
Narasannapeta(8),NOTA,None of the Above,,3300,( -96651),andraprdesh
Rajam (9),KONDRU MURALI MOHAN,Telugu Desam,won,94385,(+ 20722),andraprdesh
Rajam (9),DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party,lost,73663,( -20722),andraprdesh
Rajam (9),KAMBALA RAJAVARDHANA,Indian National Congress,lost,3684,( -90701),andraprdesh
Rajam (9),BOCCHA BUDDUDU,Bahujan Samaj Party,lost,524,( -93861),andraprdesh
Rajam (9),YENNI RAJU,Independent,lost,466,( -93919),andraprdesh
Rajam (9),MAJJI GANAPATHI,Independent,lost,344,( -94041),andraprdesh
Rajam (9),MANNENA RAMESH,Independent,lost,320,( -94065),andraprdesh
Rajam (9),GANDI APPARAO,Independent,lost,220,( -94165),andraprdesh
Rajam (9),PODUGU RAMAKRISHNA,Jaibhim Rao Bharat Party,lost,185,( -94200),andraprdesh
Rajam (9),KUPPILI CHAITANYAKUMAR,Jai Bharat National Party,lost,167,( -94218),andraprdesh
Rajam (9),NOTA,None of the Above,,2536,( -91849),andraprdesh
Kurupam (11),JAGADEESWARI THOYAKA,Telugu Desam,won,83355,(+ 23500),andraprdesh
Kurupam (11),PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,lost,59855,( -23500),andraprdesh
Kurupam (11),MANDANGI RAMANA,Communist Party of India  (Marxist),lost,3923,( -79432),andraprdesh
Kurupam (11),TADANGI MINNARAO,Bahujan Samaj Party,lost,1432,( -81923),andraprdesh
Kurupam (11),ADDAKULA GEETHARANI,Independent,lost,767,( -82588),andraprdesh
Kurupam (11),MOSURU NAGA BUSHAN,Independent,lost,690,( -82665),andraprdesh
Kurupam (11),TADANGI SRIHARI RAO NAIDU,Independent,lost,508,( -82847),andraprdesh
Kurupam (11),NOTA,None of the Above,,4761,( -78594),andraprdesh
Parvathipuram (12),BONELA VIJAYA CHANDRA,Telugu Desam,won,83905,(+ 24414),andraprdesh
Parvathipuram (12),ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,lost,59491,( -24414),andraprdesh
Parvathipuram (12),BATHINA MOHANARAO,Indian National Congress,lost,1640,( -82265),andraprdesh
Parvathipuram (12),KUPPILI VENKATA RAMANA,Bahujan Samaj Party,lost,954,( -82951),andraprdesh
Parvathipuram (12),UDAYA BHANU GARBHAPU,Independent,lost,654,( -83251),andraprdesh
Parvathipuram (12),GUNTA JYOTHI,Jaibhim Rao Bharat Party,lost,626,( -83279),andraprdesh
Parvathipuram (12),GARBHAPU MOHANA RAO,Independent,lost,599,( -83306),andraprdesh
