Party,Won,Total,Parliamentary Constituency,Candidate Name,candidateParty,Status,Votes,Margin
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),C.M.RAMESH,Bharatiya Janata Party,won,762069,(+ 296530)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,lost,465539,( -296530)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VEGI VENKATESH,Indian National Congress,lost,25651,( -736418)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),PALAKA SREERAMA MURTHY,Bahujan Samaj Party,lost,19157,( -742912)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VANKAYALA RAMACHANDRA RAO,Independent,lost,4002,( -758067)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),LOVARAJU SIDDHA,Independent,lost,3852,( -758217)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,lost,3557,( -758512)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),GARA SURYA RAO,Independent,lost,3124,( -758945)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,lost,2619,( -759450)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),NAGESWARA RAO PETLA,Independent,lost,2184,( -759885)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),ADARI SARAT CHANDRA,Jai Bharat National Party,lost,1913,( -760156)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VIJAYA LAKSHMI KARRI,Pyramid Party of India,lost,1591,( -760478)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),DR. THUMMAPALA HARI  SHANKAR,Independent,lost,1576,( -760493)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),JUNNURI J SRINIVAS,Independent,lost,1201,( -760868)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),APPALANAIDU TUMMAGUNTA,Independent,lost,1062,( -761007)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),NOTA,None of the Above,,26235,( -735834)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,won,726515,(+ 239139)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,lost,487376,( -239139)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),GIDUGU RUDRARAJU,Indian National Congress,lost,32508,( -694007)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),GANESWARA RAO PARAMATA,Bahujan Samaj Party,lost,20409,( -706106)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),BATTULA BALARAMAKRISHNA,Navarang Congress Party,lost,17008,( -709507)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),SALOPANTULA RAGHAVENDRA RAO,Independent,lost,3278,( -723237)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),DR. MEDISI RATNARAO ALIAS VINAY,Independent,lost,3115,( -723400)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),MOHANARAO SINGULURI,Jai Bharat National Party,lost,2833,( -723682)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),lost,2429,( -724086)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),BOMMANABOINA VSR MURTHY,Independent,lost,2179,( -724336)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),BHANU CHANDAR KURUVELLA,Independent,lost,1958,( -724557)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),JALLI BALA NAVEENA,Independent,lost,1254,( -725261)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),NOTA,None of the Above,,24435,( -702080)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,won,707343,(+ 276802)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,lost,430541,( -276802)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),K.B.R.NAIDU,Indian National Congress,lost,35213,( -672130)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),PRASANNA KUMAR UNDURTHI,Independent,lost,6364,( -700979)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),SIRRA RAJU,Bahujan Samaj Party,lost,6014,( -701329)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),MEDAPATI VENKATA VARAHALA REDDY,Independent,lost,5969,( -701374)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),BALAGAM NAYAKAR,Independent,lost,5240,( -702103)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),NALLI RAJESH,Independent,lost,4684,( -702659)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),KETHA SREENU,Independent,lost,3145,( -704198)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,lost,3116,( -704227)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,lost,2783,( -704560)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),ANAND CHANDULAL JASTI,Independent,lost,2726,( -704617)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),GANJI PURNIMA,Republican Party of India (A),lost,1649,( -705694)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),GEDALA LAXMANA RAO,Independent,lost,1527,( -705816)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),ADDANKI DORABABU,Independent,lost,1393,( -705950)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),GOTTUMUKKALA SHIVAJI,Independent,lost,1384,( -705959)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),ADINARAYANA DUPPANAPUDI,Independent,lost,1007,( -706336)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),MANNE LEELA RAMA NARENDRA,Pyramid Party of India,lost,930,( -706413)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),RAMA DURGA PRASAD THOLETI,Independent,lost,920,( -706423)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),RUKHMINI,Independent,lost,686,( -706657)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),ADABALA SIVA,Independent,lost,683,( -706660)
Bharatiya Janata Party - BJP,240,240,Narsapuram(9),NOTA,None of the Above,,7677,( -699666)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),KIREN RIJIJU,Bharatiya Janata Party,won,205417,(+ 100738)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),NABAM TUKI,Indian National Congress,lost,104679,( -100738)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),TECHI RANA,Independent,lost,33314,( -172103)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),TOKO SHEETAL,Gana Suraksha Party,lost,30530,( -174887)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),BIMPAK SIGA,Independent,lost,11518,( -193899)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),RUHI TAGUNG,Independent,lost,7821,( -197596)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),LEKI NORBU,Independent,lost,2271,( -203146)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),TANIA JUNE,Independent,lost,1958,( -203459)
Bharatiya Janata Party - BJP,240,240,Arunachal West(1),NOTA,None of the Above,,2296,( -203121)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),TAPIR GAO,Bharatiya Janata Party,won,145581,(+ 30421)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),BOSIRAM SIRAM,Indian National Congress,lost,115160,( -30421)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),TAMAT GAMOH,Independent,lost,27603,( -117978)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),SOTAI KRI,Independent,lost,14213,( -131368)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),OMAK NITIK,Independent,lost,9369,( -136212)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),BANDEY MILI,Arunachal Democratic Party,lost,6622,( -138959)
Bharatiya Janata Party - BJP,240,240,Arunachal East(2),NOTA,None of the Above,,4895,( -140686)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),DILIP SAIKIA,Bharatiya Janata Party,won,868387,(+ 329012)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),MADHAB RAJBANGSHI,Indian National Congress,lost,539375,( -329012)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),DURGADAS BORO,Bodoland Peoples Front,lost,310574,( -557813)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),DANIEL MARDI,Independent,lost,14291,( -854096)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),AROON BAROOA,Bharatheeya Jawan Kisan Party,lost,12563,( -855824)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),SWARNA DEVI,Gana Suraksha Party,lost,11112,( -857275)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),LALIT PEGU,Voters Party  International,lost,10915,( -857472)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),JITENDRA CHALIHA,Socialist Unity Centre Of India (COMMUNIST),lost,7452,( -860935)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),ABUL KASEM,Republican Party of India (Athawale),lost,4973,( -863414)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),BIREN BASAK,Bharatiya Gana Parishad,lost,4623,( -863764)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),ABDUL HAMED,Rashtriya Ulama Council,lost,3731,( -864656)
Bharatiya Janata Party - BJP,240,240,Darrang-Udalguri(4),NOTA,None of the Above,,23204,( -845183)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),BIJULI KALITA  MEDHI,Bharatiya Janata Party,won,894887,(+ 251090)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),MIRA BORTHAKUR GOSWAMI,Indian National Congress,lost,643797,( -251090)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),DIPAK KR BORO,Voters Party  International,lost,8548,( -886339)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),COLONEL GOKUL CHANDRA SINGHA,Independent,lost,7678,( -887209)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),AMITABH SARMA,Ekam Sanatan Bharat Dal,lost,7527,( -887360)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),KAZI NEKIB  AHMED,Independent,lost,6761,( -888126)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),SAMAD CHOUDHURY,Bharatiya Gana Parishad,lost,5095,( -889792)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),SHEJON GOYARY,Bahujan Maha Party,lost,4847,( -890040)
Bharatiya Janata Party - BJP,240,240,Guwahati(5),NOTA,None of the Above,,20249,( -874638)
Bharatiya Janata Party - BJP,240,240,Diphu(6),AMARSING TISSO,Bharatiya Janata Party,won,334620,(+ 147603)
Bharatiya Janata Party - BJP,240,240,Diphu(6),J. I. KATHAR,Independent,lost,187017,( -147603)
Bharatiya Janata Party - BJP,240,240,Diphu(6),JOY RAM ENGLENG,Indian National Congress,lost,124019,( -210601)
Bharatiya Janata Party - BJP,240,240,Diphu(6),JOHN BARNARD SANGMA,Gana Suraksha Party,lost,11279,( -323341)
Bharatiya Janata Party - BJP,240,240,Diphu(6),JOTSON BEY,Autonomous State Demand Committee,lost,9633,( -324987)
Bharatiya Janata Party - BJP,240,240,Diphu(6),NOTA,None of the Above,,16259,( -318361)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),KRIPANATH MALLAH,Bharatiya Janata Party,won,545093,(+ 18360)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,lost,526733,( -18360)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),SAHABUL ISLAM CHOUDHURY,All India United Democratic Front,lost,29205,( -515888)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),JIBESH DEB,Independent,lost,7109,( -537984)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),DEBOJYOTI NATH,Independent,lost,5907,( -539186)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),AHAD UDDIN,Rashtriya Ulama Council,lost,4192,( -540901)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),BINAY KRISHNA ROY,Independent,lost,3628,( -541465)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),DILIP KUMAR,Independent,lost,2630,( -542463)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ROSID AHMED LASKAR,Independent,lost,2601,( -542492)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),MUZAKKIR HASAN LASKAR,Independent,lost,2291,( -542802)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ABDUL BASIT TAPADAR,Independent,lost,1923,( -543170)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),GOPAL CHANDRA PAUL,Independent,lost,1657,( -543436)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),MD. NAZRUL ISLAM LASKAR,Independent,lost,1382,( -543711)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),SAHEL AHMED,Independent,lost,1111,( -543982)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ABDUL GOFFAR TALUKDAR,Independent,lost,1095,( -543998)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),SAFIKUR RAHMAN HAZARI,Independent,lost,1031,( -544062)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),PRAJJWAL SUDIP DEB,Socialist Unity Centre Of India (COMMUNIST),lost,1001,( -544092)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ABDUL KALAM MAZUMDER,Independent,lost,975,( -544118)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ALIM UDDIN MAZUMDER,Independent,lost,882,( -544211)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ABDUL HAMEED,Independent,lost,842,( -544251)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),DEBASHISH GHOSH,Bangali Nabanirman Sena,lost,817,( -544276)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),RASHID AHMED CHOUDHURY,Independent,lost,721,( -544372)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ABDUS  SUBHAN TAPADAR,Independent,lost,571,( -544522)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),ROKIBUL HUSSAIN CHOUDHURY,Independent,lost,545,( -544548)
Bharatiya Janata Party - BJP,240,240,Karimganj(7),NOTA,None of the Above,,2940,( -542153)
Bharatiya Janata Party - BJP,240,240,Silchar (8),PARIMAL SUKLABAIDYA,Bharatiya Janata Party,won,652405,(+ 264311)
Bharatiya Janata Party - BJP,240,240,Silchar (8),SURYA KANTA SARKAR,Indian National Congress,lost,388094,( -264311)
Bharatiya Janata Party - BJP,240,240,Silchar (8),RADHESHYAM BISWAS,All India Trinamool Congress,lost,20493,( -631912)
Bharatiya Janata Party - BJP,240,240,Silchar (8),RAJU DAS,Independent,lost,4597,( -647808)
Bharatiya Janata Party - BJP,240,240,Silchar (8),PROBASH CHANDRA SARKAR,Socialist Unity Centre Of India (COMMUNIST),lost,4534,( -647871)
Bharatiya Janata Party - BJP,240,240,Silchar (8),ANANTA MOHAN ROY,Independent,lost,3143,( -649262)
Bharatiya Janata Party - BJP,240,240,Silchar (8),RAJIB DAS,Bahujan Maha Party,lost,1867,( -650538)
Bharatiya Janata Party - BJP,240,240,Silchar (8),BARINDRA KUMAR DAS,Bangali Nabanirman Sena,lost,1593,( -650812)
Bharatiya Janata Party - BJP,240,240,Silchar (8),NOTA,None of the Above,,12700,( -639705)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),KAMAKHYA PRASAD TASA,Bharatiya Janata Party,won,897043,(+ 248947)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),ROSELINA TIRKEY,Indian National Congress,lost,648096,( -248947)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),DILUWARA BEGUM CHOWDHURY,Independent,lost,11743,( -885300)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),BINOD GOGOI,Independent,lost,10679,( -886364)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),ANIMA DEKA GUPTA,Voters Party  International,lost,8673,( -888370)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),TRIDIV JYOTI BHUYAN,Independent,lost,8128,( -888915)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),ABDUL HOQUE,Independent,lost,6441,( -890602)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),JYOTISKA RANJAN GOSWAMI,Independent,lost,4538,( -892505)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),SAILEN CH MALAKAR,Bharatiya Gana Parishad,lost,3720,( -893323)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),SALIM AHMED,Asom Jana Morcha,lost,3266,( -893777)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),SALEH AHMED MAZUMDAR,Republican Party of India (Athawale),lost,3179,( -893864)
Bharatiya Janata Party - BJP,240,240,Kaziranga(10),NOTA,None of the Above,,24431,( -872612)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),RANJIT DUTTA,Bharatiya Janata Party,won,775788,(+ 361408)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),PREMLAL GANJU,Indian National Congress,lost,414380,( -361408)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),RISHIRAJ KAUNDINYA,Aam Aadmi Party,lost,33048,( -742740)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),RAJU DEURI,Bodoland Peoples Front,lost,19892,( -755896)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),PRADIP BHANDARI,Independent,lost,8205,( -767583)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),KAMESWAR SWARGIARY,Voters Party  International,lost,7382,( -768406)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),RINKU ROY,Gana Suraksha Party,lost,6823,( -768965)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),ALAM ALI,Bahujan Maha Party,lost,4202,( -771586)
Bharatiya Janata Party - BJP,240,240,Sonitpur(11),NOTA,None of the Above,,18748,( -757040)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),PRADAN BARUAH,Bharatiya Janata Party,won,663122,(+ 201257)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),UDAY SHANKAR HAZARIKA,Indian National Congress,lost,461865,( -201257)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),DHIREN KACHARI,Communist Party of India,lost,19631,( -643491)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),GHANA KANTA CHUTIA,All India Trinamool Congress,lost,14197,( -648925)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),BIKRAM RAMCHIARY,Independent,lost,10293,( -652829)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),GOBIN BISWAKARMA,Independent,lost,7526,( -655596)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),DEBA NATH PAIT,Independent,lost,6163,( -656959)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),PALLAB PEGU,Socialist Unity Centre Of India (COMMUNIST),lost,6137,( -656985)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),BIREN BAILUNG,Voters Party  International,lost,5359,( -657763)
Bharatiya Janata Party - BJP,240,240,Lakhimpur(12),NOTA,None of the Above,,16921,( -646201)
Bharatiya Janata Party - BJP,240,240,Dibrugarh(13),SARBANANDA SONOWAL,Bharatiya Janata Party,won,693762,(+ 279321)
Bharatiya Janata Party - BJP,240,240,Dibrugarh(13),LURINJYOTI GOGOI,Assam Jatiya Parishad,lost,414441,( -279321)
Bharatiya Janata Party - BJP,240,240,Dibrugarh(13),MANOJ DHANOWAR,Aam Aadmi Party,lost,137864,( -555898)
Bharatiya Janata Party - BJP,240,240,Dibrugarh(13),NOTA,None of the Above,,32255,( -661507)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),DR.SANJAY JAISWAL,Bharatiya Janata Party,won,580421,(+ 136568)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),MADAN MOHAN TIWARI,Indian National Congress,lost,443853,( -136568)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),SANJAY KUMAR,Viro Ke Vir Indian Party,lost,13145,( -567276)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),UPENDRA RAM,Bahujan Samaj Party,lost,10962,( -569459)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),MOHAMMAD SOAIB,Independent,lost,8994,( -571427)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),RAUSHAN KUMAR SRIVASTAVA,Independent,lost,8505,( -571916)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),MD. KALAM SAI,Independent,lost,4925,( -575496)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),NAFISH AHMAD,Independent,lost,4163,( -576258)
Bharatiya Janata Party - BJP,240,240,Paschim Champaran(2),NOTA,None of the Above,,11288,( -569133)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),RADHA MOHAN SINGH,Bharatiya Janata Party,won,542193,(+ 88287)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),DR RAJESH KUMAR,Vikassheel Insaan Party,lost,453906,( -88287)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),MOHAMMAD AJMER ALAM,Independent,lost,13047,( -529146)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,lost,8185,( -534008)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),RAJESH SINGH,Independent,lost,7182,( -535011)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),GYANTI DEVI,Prabuddha Republican Party,lost,7008,( -535185)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),PAWAN KUMAR,Bhartiya Sarthak Party,lost,4914,( -537279)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),MUNESHWAR TIWARI,Independent,lost,4022,( -538171)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,lost,3934,( -538259)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),RAJESH KUMAR S/O VISHUN SAH,Independent,lost,3492,( -538701)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,lost,3464,( -538729)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),NIKESH KUMAR,Independent,lost,2553,( -539640)
Bharatiya Janata Party - BJP,240,240,Purvi Champaran(3),NOTA,None of the Above,,19788,( -522405)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),ASHOK KUMAR YADAV,Bharatiya Janata Party,won,553428,(+ 151945)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),MD ALI ASHRAF FATMI,Rashtriya Janata Dal,lost,401483,( -151945)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),SHIV BODHAN SAHU,Independent,lost,13370,( -540058)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),BIKASH KUMAR,Bahujan Samaj Party,lost,7223,( -546205)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),PRIYE RANJAN,Independent,lost,7050,( -546378)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),VAIDYANATH YADAV,Peoples Party of India (Democratic),lost,4983,( -548445)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),SARFARAJ ALAM,Akhil Bhartiya Parivar Party,lost,4623,( -548805)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,lost,4498,( -548930)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),MOHAN SHARMA,Rashtriya Jansambhavna Party,lost,4464,( -548964)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),ABU BAKAR RAHMANI,Country Citizen Party,lost,2097,( -551331)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),UDAY MANDAL,Samata Party,lost,2007,( -551421)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,lost,1783,( -551645)
Bharatiya Janata Party - BJP,240,240,Madhubani(6),NOTA,None of the Above,,20719,( -532709)
Bharatiya Janata Party - BJP,240,240,Araria(9),PRADEEP KUMAR SINGH,Bharatiya Janata Party,won,600146,(+ 20094)
Bharatiya Janata Party - BJP,240,240,Araria(9),SHAHNAWAZ,Rashtriya Janata Dal,lost,580052,( -20094)
Bharatiya Janata Party - BJP,240,240,Araria(9),SHATRUGHAN PRASAD SUMAN,Independent,lost,13746,( -586400)
Bharatiya Janata Party - BJP,240,240,Araria(9),MD GHOUSUL AZAM,Bahujan Samaj Party,lost,12690,( -587456)
Bharatiya Janata Party - BJP,240,240,Araria(9),MD. MOBINUL HAQUE,Independent,lost,12008,( -588138)
Bharatiya Janata Party - BJP,240,240,Araria(9),MD. ISMAIL,Bharatiya Momin Front,lost,7354,( -592792)
Bharatiya Janata Party - BJP,240,240,Araria(9),AKHILESH KUMAR,Independent,lost,5120,( -595026)
Bharatiya Janata Party - BJP,240,240,Araria(9),MUSHTAK ALAM,Independent,lost,4899,( -595247)
Bharatiya Janata Party - BJP,240,240,Araria(9),ZAWED AKHTAR,The National Road Map Party of India,lost,3041,( -597105)
Bharatiya Janata Party - BJP,240,240,Araria(9),NOTA,None of the Above,,13504,( -586642)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),GOPAL JEE THAKUR,Bharatiya Janata Party,won,566630,(+ 178156)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),LALIT KUMAR YADAV,Rashtriya Janata Dal,lost,388474,( -178156)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,lost,18025,( -548605)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),DURGANANDA MAHAVIR NAYAK,Bahujan Samaj Party,lost,8268,( -558362)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),MITHILESH MAHTO,Independent,lost,6992,( -559638)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),KISHOR KUMAR DAS,Akhil Bhartiya Parivar Party,lost,5721,( -560909)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),RAJNISH KUMAR,Jantantra Awaj Party,lost,3638,( -562992)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),RANJEET KUMAR RAM,Wazib Adhikar Party,lost,2532,( -564098)
Bharatiya Janata Party - BJP,240,240,Darbhanga(14),NOTA,None of the Above,,23904,( -542726)
Bharatiya Janata Party - BJP,240,240,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,won,619749,(+ 234927)
Bharatiya Janata Party - BJP,240,240,Muzaffarpur(15),AJAY NISHAD,Indian National Congress,lost,384822,( -234927)
Bharatiya Janata Party - BJP,240,240,Muzaffarpur(15),ALOK KUMAR SINH,Independent,lost,17225,( -602524)
Bharatiya Janata Party - BJP,240,240,Muzaffarpur(15),AWADHESH PRASAD SINGH,Independent,lost,15618,( -604131)
Bharatiya Janata Party - BJP,240,240,Muzaffarpur(15),JITENDRA KUMAR,Independent,lost,8700,( -611049)
